City,Transport_Mode,Brand,Weather_Condition,Time_of_Day,Emergency_Alert,Speed_Limit_kmh,Past_Accidents_in_Region,accident_probability
Negombo,Three-Wheeler,Bajaj,Overcast,Afternoon (14:00-18:00),None,30,34,0.4436
Trincomalee,Motorcycle,Yamaha,Light Rain,Midday (10:00-14:00),None,60,6,0.4994
Trincomalee,Motorcycle,Honda,Clear,Midday (10:00-14:00),None,50,13,0.3795
Kandy,Car,Toyota,Clear,Afternoon (14:00-18:00),None,30,20,0.2392
Negombo,Car,Nissan,Windy,Evening (18:00-22:00),Road Work,50,15,0.3906
Colombo,Three-Wheeler,TVS,Light Rain,Night (22:00-00:00),None,30,104,0.878
Batticaloa,Motorcycle,Yamaha,Windy,Morning (06:00-10:00),None,30,14,0.3205
Negombo,Motorcycle,Bajaj,Light Rain,Morning (06:00-10:00),None,50,28,0.5468
Negombo,Bicycle,Giant,Clear,Midday (10:00-14:00),None,30,26,0.2599
Anuradhapura,Car,Hyundai,Clear,Midday (10:00-14:00),None,60,12,0.303
Colombo,Van,Nissan,Overcast,Evening (18:00-22:00),None,40,63,0.6471
Colombo,Motorcycle,Yamaha,Windy,Morning (06:00-10:00),None,30,82,0.853
Anuradhapura,Bicycle,Local,Storm,Evening (18:00-22:00),Police Checkpoint,40,11,0.3435
Colombo,Three-Wheeler,Bajaj,Windy,Early Morning (00:00-06:00),None,50,126,0.96
Trincomalee,Three-Wheeler,Bajaj,Clear,Evening (18:00-22:00),None,80,14,0.4255
Batticaloa,Motorcycle,Suzuki,Clear,Evening (18:00-22:00),Road Work,40,3,0.3255
Kurunegala,Motorcycle,Honda,Fog,Night (22:00-00:00),None,70,26,0.7253
Galle,Truck,Hino,Clear,Early Morning (00:00-06:00),Road Work,50,22,0.4453
Matara,Truck,Isuzu,Clear,Midday (10:00-14:00),None,50,13,0.3105
Matara,Car,Suzuki,Windy,Morning (06:00-10:00),None,50,21,0.3599
Negombo,Three-Wheeler,Bajaj,Clear,Morning (06:00-10:00),None,50,36,0.4514
Kandy,Three-Wheeler,TVS,Overcast,Afternoon (14:00-18:00),None,70,56,0.7261
Negombo,Motorcycle,Suzuki,Light Rain,Night (22:00-00:00),None,50,20,0.4775
Negombo,Bus,Toyota,Clear,Evening (18:00-22:00),None,50,24,0.3744
Jaffna,Car,Honda,Overcast,Night (22:00-00:00),Accident Nearby,40,19,0.3925
Colombo,Car,Mitsubishi,Light Rain,Morning (06:00-10:00),Police Checkpoint,40,124,0.944
Kandy,Three-Wheeler,Bajaj,Clear,Morning (06:00-10:00),None,80,39,0.6646
Colombo,Motorcycle,Bajaj,Light Rain,Midday (10:00-14:00),None,40,95,0.9095
Kurunegala,Bicycle,Giant,Heavy Rain,Morning (06:00-10:00),Accident Nearby,70,15,0.5789
Jaffna,Car,Toyota,Overcast,Evening (18:00-22:00),None,100,10,0.4613
Matara,Van,Isuzu,Light Rain,Evening (18:00-22:00),None,80,22,0.5549
Negombo,Bicycle,Local,Overcast,Evening (18:00-22:00),Flood Alert,50,39,0.6029
Anuradhapura,Car,Nissan,Clear,Morning (06:00-10:00),None,50,13,0.2173
Galle,Car,Nissan,Clear,Midday (10:00-14:00),None,40,32,0.3691
Jaffna,Motorcycle,Suzuki,Clear,Morning (06:00-10:00),None,90,19,0.6271
Matara,Car,Honda,Clear,Early Morning (00:00-06:00),None,70,13,0.3694
Batticaloa,Van,Isuzu,Overcast,Evening (18:00-22:00),Accident Nearby,80,12,0.5467
Negombo,Motorcycle,Suzuki,Clear,Midday (10:00-14:00),None,50,40,0.627
Colombo,Car,Nissan,Storm,Afternoon (14:00-18:00),Road Work,60,99,0.9574
Kurunegala,Bus,Toyota,Clear,Afternoon (14:00-18:00),None,50,36,0.4526
Kandy,Motorcycle,Suzuki,Clear,Night (22:00-00:00),None,80,12,0.4669
Jaffna,Car,Toyota,Storm,Midday (10:00-14:00),None,80,22,0.625
Kurunegala,Car,Nissan,Clear,Early Morning (00:00-06:00),None,40,24,0.3283
Kurunegala,Car,Nissan,Overcast,Morning (06:00-10:00),None,60,21,0.4223
Trincomalee,Car,Nissan,Storm,Morning (06:00-10:00),None,50,12,0.4208
Kurunegala,Van,Isuzu,Windy,Morning (06:00-10:00),None,80,8,0.3948
Kandy,Car,Hyundai,Fog,Afternoon (14:00-18:00),None,100,42,0.8139
Anuradhapura,Motorcycle,Suzuki,Light Rain,Morning (06:00-10:00),None,30,15,0.3841
Jaffna,Car,Suzuki,Storm,Afternoon (14:00-18:00),Accident Nearby,70,26,0.6767
Jaffna,Car,Mitsubishi,Clear,Evening (18:00-22:00),None,60,14,0.2574
Jaffna,Car,Hyundai,Clear,Morning (06:00-10:00),Police Checkpoint,50,12,0.2426
Jaffna,Car,Honda,Light Rain,Midday (10:00-14:00),None,80,14,0.4213
Colombo,Motorcycle,Honda,Clear,Evening (18:00-22:00),None,50,122,0.9558
Colombo,Van,Toyota,Clear,Midday (10:00-14:00),None,50,108,0.9077
Jaffna,Car,Suzuki,Heavy Rain,Morning (06:00-10:00),None,70,14,0.4684
Kandy,Car,Suzuki,Overcast,Midday (10:00-14:00),Traffic Jam,60,51,0.6959
Galle,Motorcycle,Honda,Clear,Morning (06:00-10:00),None,30,25,0.3922
Negombo,Three-Wheeler,Bajaj,Clear,Evening (18:00-22:00),None,60,35,0.535
Anuradhapura,Car,Toyota,Fog,Midday (10:00-14:00),None,50,10,0.4048
Kurunegala,Bus,Ashok Leyland,Storm,Afternoon (14:00-18:00),None,40,21,0.4238
Batticaloa,Car,Toyota,Overcast,Afternoon (14:00-18:00),None,40,9,0.2534
Colombo,Van,Isuzu,Clear,Morning (06:00-10:00),None,60,63,0.7209
Kurunegala,Bus,Isuzu,Windy,Morning (06:00-10:00),None,60,26,0.4703
Jaffna,Car,Honda,Clear,Afternoon (14:00-18:00),None,60,19,0.3222
Batticaloa,Truck,Mitsubishi,Overcast,Morning (06:00-10:00),Police Checkpoint,30,11,0.2183
Anuradhapura,Car,Hyundai,Light Rain,Morning (06:00-10:00),None,30,12,0.2695
Colombo,Motorcycle,Suzuki,Clear,Morning (06:00-10:00),None,70,64,0.8275
Jaffna,Car,Hyundai,Heavy Rain,Afternoon (14:00-18:00),None,90,14,0.5405
Jaffna,Car,Mitsubishi,Clear,Morning (06:00-10:00),None,30,15,0.2028
Anuradhapura,Car,Honda,Windy,Midday (10:00-14:00),None,50,9,0.3082
Galle,Motorcycle,Suzuki,Clear,Afternoon (14:00-18:00),Road Work,70,23,0.574
Matara,Bus,Ashok Leyland,Storm,Evening (18:00-22:00),None,90,20,0.7005
Trincomalee,Car,Hyundai,Overcast,Evening (18:00-22:00),None,60,21,0.3622
Jaffna,Motorcycle,Suzuki,Light Rain,Afternoon (14:00-18:00),None,50,18,0.4941
Galle,Car,Nissan,Clear,Afternoon (14:00-18:00),None,90,26,0.5239
Batticaloa,Car,Suzuki,Clear,Morning (06:00-10:00),None,80,10,0.3767
Batticaloa,Three-Wheeler,Bajaj,Light Rain,Afternoon (14:00-18:00),None,40,2,0.2411
Galle,Car,Mitsubishi,Clear,Early Morning (00:00-06:00),None,40,24,0.3081
Kandy,Bicycle,Local,Clear,Night (22:00-00:00),None,40,45,0.4584
Colombo,Car,Honda,Clear,Morning (06:00-10:00),Flood Alert,30,161,0.9843
Trincomalee,Car,Nissan,Overcast,Evening (18:00-22:00),None,50,11,0.2937
Batticaloa,Truck,Isuzu,Overcast,Morning (06:00-10:00),None,60,12,0.3652
Anuradhapura,Bus,Ashok Leyland,Clear,Evening (18:00-22:00),None,90,13,0.4181
Negombo,Three-Wheeler,TVS,Light Rain,Evening (18:00-22:00),None,70,17,0.455
Batticaloa,Motorcycle,Suzuki,Clear,Afternoon (14:00-18:00),None,60,16,0.3603
Galle,Motorcycle,Bajaj,Overcast,Morning (06:00-10:00),Accident Nearby,30,30,0.5395
Anuradhapura,Car,Suzuki,Clear,Afternoon (14:00-18:00),Accident Nearby,100,18,0.674
Negombo,Bus,Isuzu,Storm,Midday (10:00-14:00),None,80,19,0.6322
Colombo,Van,Toyota,Light Rain,Midday (10:00-14:00),None,40,135,0.9648
Jaffna,Truck,Mitsubishi,Light Rain,Midday (10:00-14:00),None,50,8,0.3432
Kurunegala,Car,Hyundai,Light Rain,Evening (18:00-22:00),None,60,28,0.4902
Matara,Motorcycle,Honda,Storm,Evening (18:00-22:00),None,30,31,0.6249
Kurunegala,Three-Wheeler,TVS,Clear,Midday (10:00-14:00),None,50,16,0.2995
Colombo,Motorcycle,Suzuki,Clear,Afternoon (14:00-18:00),None,80,85,0.9266
Colombo,Bus,Toyota,Light Rain,Morning (06:00-10:00),Police Checkpoint,40,102,0.8952
Jaffna,Motorcycle,Honda,Light Rain,Evening (18:00-22:00),None,50,14,0.4628
Negombo,Bus,Toyota,Storm,Midday (10:00-14:00),Police Checkpoint,70,13,0.5191
Jaffna,Motorcycle,Suzuki,Fog,Morning (06:00-10:00),None,50,17,0.5568
Kandy,Car,Toyota,Storm,Afternoon (14:00-18:00),None,60,31,0.6434
Kurunegala,Car,Toyota,Windy,Evening (18:00-22:00),Flood Alert,90,27,0.7349
Anuradhapura,Motorcycle,Honda,Clear,Morning (06:00-10:00),None,70,8,0.3996
Anuradhapura,Car,Nissan,Light Rain,Night (22:00-00:00),None,50,22,0.3812
Jaffna,Car,Mitsubishi,Clear,Night (22:00-00:00),None,50,12,0.2669
Colombo,Three-Wheeler,TVS,Overcast,Night (22:00-00:00),Flood Alert,50,91,0.9368
Batticaloa,Car,Hyundai,Light Rain,Midday (10:00-14:00),None,90,14,0.463
Colombo,Truck,Hino,Light Rain,Night (22:00-00:00),Police Checkpoint,80,69,0.849
Galle,Three-Wheeler,Bajaj,Clear,Morning (06:00-10:00),None,70,26,0.498
Kandy,Motorcycle,Honda,Clear,Morning (06:00-10:00),None,80,61,0.8319
Matara,Van,Nissan,Light Rain,Afternoon (14:00-18:00),None,70,7,0.3852
Kurunegala,Bus,Ashok Leyland,Windy,Midday (10:00-14:00),None,30,25,0.3278
Trincomalee,Bus,Toyota,Clear,Night (22:00-00:00),None,60,13,0.3006
Matara,Car,Suzuki,Light Rain,Evening (18:00-22:00),None,90,22,0.6104
Kandy,Car,Nissan,Clear,Night (22:00-00:00),Flood Alert,30,29,0.405
Kurunegala,Car,Mitsubishi,Clear,Midday (10:00-14:00),None,40,13,0.221
Batticaloa,Motorcycle,Bajaj,Light Rain,Afternoon (14:00-18:00),None,80,13,0.558
Kandy,Bus,Isuzu,Clear,Evening (18:00-22:00),None,60,48,0.5412
Batticaloa,Motorcycle,Bajaj,Heavy Rain,Afternoon (14:00-18:00),None,100,12,0.6907
Trincomalee,Car,Nissan,Clear,Evening (18:00-22:00),None,50,14,0.3195
Anuradhapura,Car,Toyota,Clear,Early Morning (00:00-06:00),None,60,10,0.2857
Anuradhapura,Car,Hyundai,Overcast,Morning (06:00-10:00),None,90,15,0.4705
Colombo,Three-Wheeler,TVS,Overcast,Night (22:00-00:00),None,60,107,0.922
Galle,Car,Suzuki,Light Rain,Midday (10:00-14:00),Road Work,50,19,0.4278
Colombo,Bus,Isuzu,Light Rain,Afternoon (14:00-18:00),None,100,146,0.9898
Negombo,Motorcycle,Suzuki,Clear,Evening (18:00-22:00),Flood Alert,70,31,0.7256
Anuradhapura,Car,Nissan,Clear,Evening (18:00-22:00),None,80,7,0.3721
Galle,Car,Hyundai,Clear,Afternoon (14:00-18:00),None,40,29,0.3649
Trincomalee,Bus,Ashok Leyland,Clear,Morning (06:00-10:00),None,80,7,0.3078
Negombo,Car,Honda,Overcast,Afternoon (14:00-18:00),None,80,34,0.5873
Trincomalee,Motorcycle,Yamaha,Storm,Afternoon (14:00-18:00),None,60,18,0.6413
Kandy,Car,Nissan,Fog,Midday (10:00-14:00),None,30,34,0.5357
Kandy,Motorcycle,Suzuki,Fog,Night (22:00-00:00),Accident Nearby,60,57,0.9118
Kurunegala,Bus,Isuzu,Heavy Rain,Morning (06:00-10:00),None,70,27,0.5607
Kandy,Motorcycle,Yamaha,Clear,Morning (06:00-10:00),None,30,55,0.6075
Anuradhapura,Truck,Isuzu,Light Rain,Morning (06:00-10:00),None,50,24,0.443
Galle,Car,Honda,Overcast,Evening (18:00-22:00),None,70,23,0.4385
Colombo,Bus,Toyota,Light Rain,Afternoon (14:00-18:00),None,50,81,0.8361
Anuradhapura,Bus,Toyota,Clear,Afternoon (14:00-18:00),None,60,9,0.3028
Kandy,Motorcycle,Yamaha,Clear,Midday (10:00-14:00),None,40,34,0.4971
Kandy,Motorcycle,Yamaha,Overcast,Midday (10:00-14:00),None,60,44,0.6746
Kandy,Car,Mitsubishi,Heavy Rain,Morning (06:00-10:00),Road Work,30,49,0.677
Colombo,Van,Mitsubishi,Overcast,Afternoon (14:00-18:00),None,50,106,0.9025
Colombo,Bus,Toyota,Clear,Night (22:00-00:00),None,70,120,0.9613
Galle,Motorcycle,Yamaha,Clear,Afternoon (14:00-18:00),None,50,25,0.4189
Kandy,Motorcycle,Honda,Heavy Rain,Morning (06:00-10:00),None,60,63,0.8676
Colombo,Three-Wheeler,TVS,Light Rain,Evening (18:00-22:00),Accident Nearby,40,93,0.9327
Colombo,Motorcycle,Bajaj,Heavy Rain,Afternoon (14:00-18:00),None,80,168,0.9968
Negombo,Car,Honda,Clear,Night (22:00-00:00),None,70,32,0.4929
Matara,Three-Wheeler,TVS,Clear,Morning (06:00-10:00),None,50,12,0.292
Kandy,Bus,Isuzu,Clear,Afternoon (14:00-18:00),None,50,31,0.4004
Kandy,Car,Toyota,Light Rain,Afternoon (14:00-18:00),None,60,51,0.7106
Anuradhapura,Bicycle,Local,Windy,Afternoon (14:00-18:00),None,60,12,0.2637
Negombo,Van,Isuzu,Clear,Evening (18:00-22:00),None,70,33,0.575
Negombo,Bus,Ashok Leyland,Light Rain,Night (22:00-00:00),None,60,31,0.4721
Galle,Van,Isuzu,Clear,Midday (10:00-14:00),None,80,24,0.4885
Kurunegala,Bus,Ashok Leyland,Overcast,Midday (10:00-14:00),None,80,17,0.4252
Trincomalee,Car,Nissan,Clear,Afternoon (14:00-18:00),None,50,5,0.2336
Trincomalee,Car,Suzuki,Clear,Evening (18:00-22:00),None,60,10,0.2478
Kurunegala,Motorcycle,Bajaj,Light Rain,Evening (18:00-22:00),None,70,30,0.6687
Negombo,Car,Suzuki,Overcast,Early Morning (00:00-06:00),None,90,29,0.6385
Galle,Three-Wheeler,Bajaj,Clear,Morning (06:00-10:00),None,80,15,0.4035
Colombo,Three-Wheeler,Bajaj,Light Rain,Evening (18:00-22:00),None,60,104,0.9384
Colombo,Motorcycle,Bajaj,Light Rain,Early Morning (00:00-06:00),None,70,109,0.962
Trincomalee,Car,Mitsubishi,Heavy Rain,Morning (06:00-10:00),None,90,8,0.5298
Anuradhapura,Bicycle,Giant,Clear,Night (22:00-00:00),Traffic Jam,60,14,0.3162
Kandy,Motorcycle,Suzuki,Storm,Evening (18:00-22:00),Accident Nearby,40,45,0.804
Kandy,Car,Hyundai,Overcast,Morning (06:00-10:00),Flood Alert,80,30,0.6999
Kandy,Three-Wheeler,TVS,Clear,Afternoon (14:00-18:00),Flood Alert,30,49,0.7065
Trincomalee,Three-Wheeler,TVS,Windy,Midday (10:00-14:00),None,50,15,0.3579
Galle,Bus,Ashok Leyland,Clear,Night (22:00-00:00),Flood Alert,70,33,0.6714
Anuradhapura,Bus,Toyota,Windy,Afternoon (14:00-18:00),Flood Alert,70,19,0.5451
Jaffna,Car,Toyota,Clear,Morning (06:00-10:00),None,90,8,0.3574
Matara,Motorcycle,Honda,Clear,Morning (06:00-10:00),None,70,11,0.4485
Matara,Bus,Toyota,Overcast,Early Morning (00:00-06:00),None,50,20,0.3811
Colombo,Motorcycle,Honda,Clear,Midday (10:00-14:00),None,30,112,0.924
Trincomalee,Bus,Isuzu,Overcast,Evening (18:00-22:00),None,30,14,0.2235
Batticaloa,Bus,Toyota,Storm,Morning (06:00-10:00),None,80,28,0.6794
Galle,Car,Mitsubishi,Clear,Afternoon (14:00-18:00),Accident Nearby,40,29,0.4083
Galle,Motorcycle,Bajaj,Fog,Afternoon (14:00-18:00),Traffic Jam,60,33,0.752
Colombo,Bus,Isuzu,Heavy Rain,Midday (10:00-14:00),None,30,123,0.9536
Colombo,Bus,Toyota,Overcast,Night (22:00-00:00),None,50,116,0.9254
Anuradhapura,Motorcycle,Honda,Fog,Early Morning (00:00-06:00),None,50,12,0.5002
Anuradhapura,Motorcycle,Suzuki,Light Rain,Evening (18:00-22:00),None,100,18,0.6875
Negombo,Car,Honda,Clear,Morning (06:00-10:00),None,50,20,0.3089
Trincomalee,Motorcycle,Honda,Clear,Morning (06:00-10:00),None,50,11,0.3511
Matara,Motorcycle,Suzuki,Clear,Early Morning (00:00-06:00),Road Work,50,14,0.5117
Trincomalee,Motorcycle,Yamaha,Clear,Afternoon (14:00-18:00),None,80,12,0.478
Kurunegala,Van,Nissan,Fog,Afternoon (14:00-18:00),None,40,42,0.6211
Kandy,Car,Hyundai,Clear,Afternoon (14:00-18:00),None,70,21,0.3884
Trincomalee,Motorcycle,Yamaha,Overcast,Afternoon (14:00-18:00),None,70,15,0.5127
Kandy,Bus,Isuzu,Clear,Afternoon (14:00-18:00),Police Checkpoint,30,24,0.2625
Anuradhapura,Car,Nissan,Storm,Midday (10:00-14:00),Police Checkpoint,60,11,0.4273
Colombo,Three-Wheeler,TVS,Clear,Evening (18:00-22:00),Traffic Jam,80,127,0.9783
Trincomalee,Truck,Hino,Clear,Morning (06:00-10:00),None,80,12,0.483
Batticaloa,Car,Mitsubishi,Light Rain,Evening (18:00-22:00),None,40,6,0.2318
Colombo,Bus,Toyota,Clear,Afternoon (14:00-18:00),None,80,82,0.8358
Negombo,Car,Toyota,Clear,Midday (10:00-14:00),None,60,33,0.4944
Jaffna,Motorcycle,Yamaha,Clear,Midday (10:00-14:00),None,60,12,0.3815
Negombo,Bus,Isuzu,Light Rain,Morning (06:00-10:00),Police Checkpoint,50,29,0.4664
Trincomalee,Bus,Ashok Leyland,Overcast,Midday (10:00-14:00),None,90,12,0.3815
Kandy,Van,Mitsubishi,Fog,Morning (06:00-10:00),None,60,36,0.6867
Colombo,Motorcycle,Yamaha,Overcast,Morning (06:00-10:00),Police Checkpoint,40,153,0.9802
Kurunegala,Car,Honda,Clear,Night (22:00-00:00),None,80,29,0.538
Colombo,Van,Mitsubishi,Light Rain,Evening (18:00-22:00),None,70,49,0.7169
Negombo,Car,Hyundai,Light Rain,Midday (10:00-14:00),None,80,29,0.5548
Galle,Motorcycle,Yamaha,Clear,Midday (10:00-14:00),None,50,20,0.4129
Colombo,Three-Wheeler,TVS,Light Rain,Evening (18:00-22:00),Traffic Jam,40,121,0.9574
Galle,Car,Hyundai,Clear,Morning (06:00-10:00),None,40,19,0.2798
Colombo,Van,Isuzu,Clear,Evening (18:00-22:00),None,50,97,0.8811
Matara,Motorcycle,Bajaj,Overcast,Afternoon (14:00-18:00),None,50,20,0.506
Colombo,Van,Isuzu,Storm,Morning (06:00-10:00),None,30,121,0.9494
Negombo,Bicycle,Local,Clear,Early Morning (00:00-06:00),None,40,16,0.2778
Kandy,Motorcycle,Suzuki,Clear,Midday (10:00-14:00),None,40,40,0.5529
Negombo,Bus,Isuzu,Overcast,Afternoon (14:00-18:00),Accident Nearby,70,23,0.5183
Matara,Bus,Ashok Leyland,Clear,Evening (18:00-22:00),None,90,13,0.3863
Anuradhapura,Motorcycle,Suzuki,Overcast,Early Morning (00:00-06:00),None,50,23,0.4664
Jaffna,Motorcycle,Bajaj,Clear,Afternoon (14:00-18:00),None,100,20,0.6603
Anuradhapura,Motorcycle,Honda,Overcast,Afternoon (14:00-18:00),None,60,7,0.3787
Jaffna,Bus,Toyota,Light Rain,Night (22:00-00:00),None,80,23,0.5778
Kurunegala,Car,Toyota,Overcast,Morning (06:00-10:00),None,100,40,0.6669
Matara,Motorcycle,Yamaha,Overcast,Morning (06:00-10:00),None,60,23,0.5145
Batticaloa,Bus,Isuzu,Clear,Afternoon (14:00-18:00),None,40,4,0.166
Jaffna,Motorcycle,Suzuki,Light Rain,Midday (10:00-14:00),Accident Nearby,90,14,0.7097
Batticaloa,Car,Toyota,Light Rain,Afternoon (14:00-18:00),None,100,16,0.5856
Negombo,Motorcycle,Bajaj,Overcast,Afternoon (14:00-18:00),None,70,21,0.5282
Batticaloa,Car,Mitsubishi,Clear,Afternoon (14:00-18:00),Police Checkpoint,50,12,0.2002
Kandy,Van,Mitsubishi,Heavy Rain,Evening (18:00-22:00),None,60,54,0.7718
Negombo,Car,Mitsubishi,Clear,Morning (06:00-10:00),None,50,19,0.3243
Trincomalee,Three-Wheeler,Bajaj,Clear,Midday (10:00-14:00),None,50,12,0.3113
Jaffna,Motorcycle,Suzuki,Clear,Evening (18:00-22:00),None,60,0,0.3413
Kandy,Bus,Isuzu,Overcast,Morning (06:00-10:00),None,60,32,0.4463
Kurunegala,Bus,Toyota,Clear,Afternoon (14:00-18:00),None,40,21,0.3081
Trincomalee,Truck,Isuzu,Clear,Night (22:00-00:00),Road Work,60,6,0.4157
Colombo,Truck,Mitsubishi,Clear,Early Morning (00:00-06:00),Accident Nearby,70,140,0.9836
Kandy,Car,Toyota,Windy,Morning (06:00-10:00),Road Work,40,27,0.4576
Trincomalee,Truck,Mitsubishi,Heavy Rain,Morning (06:00-10:00),None,80,10,0.5433
Kandy,Bus,Toyota,Overcast,Morning (06:00-10:00),Traffic Jam,50,46,0.5753
Trincomalee,Car,Suzuki,Windy,Morning (06:00-10:00),None,50,19,0.3624
Batticaloa,Motorcycle,Suzuki,Light Rain,Evening (18:00-22:00),None,50,4,0.3473
Kandy,Car,Nissan,Clear,Evening (18:00-22:00),Road Work,80,59,0.785
Negombo,Bus,Isuzu,Clear,Night (22:00-00:00),None,90,27,0.5431
Colombo,Motorcycle,Suzuki,Heavy Rain,Night (22:00-00:00),None,70,75,0.9092
Colombo,Car,Mitsubishi,Clear,Afternoon (14:00-18:00),None,40,111,0.8821
Kurunegala,Van,Mitsubishi,Light Rain,Afternoon (14:00-18:00),Police Checkpoint,50,25,0.4519
Kandy,Van,Isuzu,Clear,Evening (18:00-22:00),None,50,37,0.4433
Negombo,Car,Honda,Heavy Rain,Evening (18:00-22:00),Accident Nearby,70,28,0.7067
Matara,Three-Wheeler,TVS,Overcast,Midday (10:00-14:00),Police Checkpoint,30,15,0.2711
Batticaloa,Bicycle,Giant,Overcast,Morning (06:00-10:00),None,60,11,0.2512
Colombo,Motorcycle,Suzuki,Clear,Afternoon (14:00-18:00),Accident Nearby,60,116,0.9684
Negombo,Motorcycle,Yamaha,Overcast,Afternoon (14:00-18:00),None,30,41,0.5733
Kandy,Bus,Ashok Leyland,Overcast,Early Morning (00:00-06:00),None,30,29,0.3057
Trincomalee,Van,Toyota,Storm,Afternoon (14:00-18:00),None,40,22,0.4743
Colombo,Car,Mitsubishi,Light Rain,Midday (10:00-14:00),Traffic Jam,50,51,0.672
Batticaloa,Bicycle,Local,Clear,Night (22:00-00:00),Road Work,40,10,0.2774
Batticaloa,Bus,Isuzu,Clear,Morning (06:00-10:00),Traffic Jam,80,13,0.4002
Anuradhapura,Truck,Mitsubishi,Light Rain,Afternoon (14:00-18:00),None,80,15,0.5153
Kandy,Motorcycle,Honda,Clear,Evening (18:00-22:00),Accident Nearby,30,37,0.622
Kurunegala,Car,Toyota,Clear,Morning (06:00-10:00),None,60,22,0.4242
Kurunegala,Three-Wheeler,Bajaj,Light Rain,Midday (10:00-14:00),None,40,20,0.4117
Batticaloa,Bus,Isuzu,Storm,Morning (06:00-10:00),Police Checkpoint,60,8,0.4241
Matara,Three-Wheeler,TVS,Clear,Evening (18:00-22:00),Traffic Jam,60,22,0.418
Jaffna,Motorcycle,Bajaj,Light Rain,Midday (10:00-14:00),None,100,19,0.6661
Trincomalee,Car,Honda,Clear,Midday (10:00-14:00),None,50,9,0.2571
Anuradhapura,Car,Nissan,Clear,Evening (18:00-22:00),Accident Nearby,90,18,0.5782
Matara,Truck,Hino,Overcast,Midday (10:00-14:00),None,50,19,0.4357
Colombo,Motorcycle,Honda,Clear,Evening (18:00-22:00),None,50,120,0.9587
Kurunegala,Car,Toyota,Clear,Evening (18:00-22:00),None,60,29,0.3873
Negombo,Three-Wheeler,TVS,Clear,Night (22:00-00:00),None,40,20,0.3502
Anuradhapura,Car,Suzuki,Windy,Afternoon (14:00-18:00),None,50,10,0.2631
